Object,M_1e8Msun,D_A_Mpc,theta_microas,RA_hms,Dec_dms,freq_GHz,flux_Jy,ref
NGC 2892,2.7,86,0.03,09 32 52.9,+ 67 37 03,"8.4
100
300","0.028
0.19
0.27",[3]
"SDSS
J093302.68
+385228.0",0.1,618,0.0002,09 33 02.68,+ 38 52 28.0,140000,0.003,[10]
NGC 2911,12,44,0.27,09 33 46.1,+ 10 09 09,"15
86","0.018
<0.43",[3]
NGC 2960,"0.12
0.11","75.3
67.1","0.002
0.002",09 40 36.4,+ 03 34 37,"4.8
3000","0.011
1.65","[5]
[38];
[3]"
"SDSS
J094202.04
+042244.5",20,1545 (z),0.01,09 42 02.04,+ 04 22 44.5,325000,0.0005,[47]
NGC 2974,1.7,21.5,0.08,09 42 33.3,- 03 41 57,"5
96
667
1900","0.0038
<0.0094
<0.2
1.6-2","[38];
[3]"
NGC 2964,0.05,20,0.003,09 42 54.2,+ 31 50 51,"30
3000","0.006
24",[3]
NGC 3021,<0.18,22,<0.008,09 50 57.1,+ 33 33 13,"2.4
3000","0.018
9.9",[3]
"NGC 3031
M 81","0.8
0.65","4.1
3.6","0.19
0.18",09 55 33.2,+ 69 03 55,"15
96-103
218-240","0.16-0.34
0.82-0.39
0.75-0.18","[19];
[5]
[38];
[3]"
"NGC 3034
M 82",0.3,3.2-5.5,0.09-0.05,09 55 52.7,+ 69 40 46,"23
43
100
230
350
600
850","1.3-1.4
0.7-1.3
0.8-1
0.7
1.2
50
16-19",[14]
"PG
0953+414","2.8
2.0","768 (z)
1003","0.004
0.003",09 56 52.4,+ 41 15 22,"5
1875","0.0002
0.016","[33]
[3]"
NGC 3078,0.81,33,0.02,09 58 24.6,- 26 55 36,20,0.14,[3]
NGC 3081,0.16,33.5,0.005,09 59 29.5,- 22 49 35,8.4,0.0007,[3]
NGC 3091,36,51.3,0.70,10 00 14.3,- 19 38 13,"5
12500","0.007
0.003","[38];
[3]"
CID-947,69,1537 (z),0.04,10 01 11.35,+ 02 08 55.6,"100
300","0.0001
0.003",[16]
NGC 3079,0.03,15.9,0.002,10 01 57.8,+ 55 40 47,"20
230
375
667
850","0.084
0.5
0.8
3.7
10.7","[38];
[3]"
"SDSS
J100402.61
+285535.3",0.3,975,0.0003,10 04 02.61,+ 28 55 35.3,325000,0.002,[10]
NGC 3115,"9.6
9.0
8.8","10.2
9.5
9.5","0.93
0.94
0.91",10 05 14.0,- 07 43 06.9,"1.4
1900","0.0006
<0.045","[19];
[5]
[38]
[3]"
"SDSS
J101000.68
+300321.5",0.3,822,0.0004,10 10 00.68,+ 30 03 21.5,"1.4
138000","0.001
0.002",[10]
IC 2560,0.4,42,0.01,10 16 18.7,- 33 33 50,"1.4
3000","0.032
6.1",[3]
"SDSS
J102325.31
+514251.0",331,1514 (z),0.22,10 23 25.3,+ 51 42 51,300000,0.0003,[47]
